test dataset: (100000, 2) 

14000 tensor(1.1292e-06, device='cuda:0', grad_fn=<AddBackward0>)
15000 tensor(7.5973e-07, device='cuda:0', grad_fn=<AddBackward0>)
16000 tensor(7.7248e-07, device='cuda:0', grad_fn=<AddBackward0>)
17000 tensor(1.8235e-06, device='cuda:0', grad_fn=<AddBackward0>)
18000 tensor(6.8575e-07, device='cuda:0', grad_fn=<AddBackward0>)
19000 tensor(1.4492e-06, device='cuda:0', grad_fn=<AddBackward0>)
20000 tensor(2.8707e-06, device='cuda:0', grad_fn=<AddBackward0>)
21000 tensor(1.2726e-06, device='cuda:0', grad_fn=<AddBackward0>)
22000 tensor(1.0297e-06, device='cuda:0', grad_fn=<AddBackward0>)
23000 tensor(7.8458e-07, device='cuda:0', grad_fn=<AddBackward0>)
24000 tensor(6.2694e-07, device='cuda:0', grad_fn=<AddBackward0>)
25000 tensor(6.9550e-07, device='cuda:0', grad_fn=<AddBackward0>)
26000 tensor(7.4252e-07, device='cuda:0', grad_fn=<AddBackward0>)
27000 tensor(6.8895e-07, device='cuda:0', grad_fn=<AddBackward0>)
28000 tensor(1.0964e-06, device='cuda:0', grad_fn=<AddBackward0>)
29000 tensor(7.0936e-07, device='cuda:0', grad_fn=<AddBackward0>)
30000 tensor(1.6839e-06, device='cuda:0', grad_fn=<AddBackward0>)
31000 tensor(9.4405e-07, device='cuda:0', grad_fn=<AddBackward0>)
32000 tensor(6.0088e-07, device='cuda:0', grad_fn=<AddBackward0>)
33000 tensor(9.2994e-07, device='cuda:0', grad_fn=<AddBackward0>)
34000 tensor(1.0241e-06, device='cuda:0', grad_fn=<AddBackward0>)
35000 tensor(1.1200e-06, device='cuda:0', grad_fn=<AddBackward0>)
36000 tensor(5.7289e-07, device='cuda:0', grad_fn=<AddBackward0>)
37000 tensor(7.2905e-07, device='cuda:0', grad_fn=<AddBackward0>)
38000 tensor(7.9752e-07, device='cuda:0', grad_fn=<AddBackward0>)
39000 tensor(7.0137e-07, device='cuda:0', grad_fn=<AddBackward0>)
40000 tensor(9.8504e-07, device='cuda:0', grad_fn=<AddBackward0>)
41000 tensor(9.6424e-07, device='cuda:0', grad_fn=<AddBackward0>)
42000 tensor(8.8918e-07, device='cuda:0', grad_fn=<AddBackward0>)
43000 tensor(6.6567e-07, device='cuda:0', grad_fn=<AddBackward0>)
44000 tensor(8.9898e-07, device='cuda:0', grad_fn=<AddBackward0>)
45000 tensor(1.0765e-06, device='cuda:0', grad_fn=<AddBackward0>)
46000 tensor(1.1757e-06, device='cuda:0', grad_fn=<AddBackward0>)
47000 tensor(1.1481e-06, device='cuda:0', grad_fn=<AddBackward0>)
48000 tensor(7.5493e-07, device='cuda:0', grad_fn=<AddBackward0>)
49000 tensor(2.0233e-06, device='cuda:0', grad_fn=<AddBackward0>)
50000 tensor(9.3986e-07, device='cuda:0', grad_fn=<AddBackward0>)
51000 tensor(5.5372e-07, device='cuda:0', grad_fn=<AddBackward0>)
52000 tensor(1.1032e-06, device='cuda:0', grad_fn=<AddBackward0>)
53000 tensor(2.5125e-06, device='cuda:0', grad_fn=<AddBackward0>)
54000 tensor(8.0251e-07, device='cuda:0', grad_fn=<AddBackward0>)
55000 tensor(5.0640e-07, device='cuda:0', grad_fn=<AddBackward0>)
56000 tensor(5.4575e-07, device='cuda:0', grad_fn=<AddBackward0>)
57000 tensor(8.2378e-07, device='cuda:0', grad_fn=<AddBackward0>)
58000 tensor(8.6982e-07, device='cuda:0', grad_fn=<AddBackward0>)
59000 tensor(4.9327e-07, device='cuda:0', grad_fn=<AddBackward0>)
60000 tensor(6.8379e-07, device='cuda:0', grad_fn=<AddBackward0>)
61000 tensor(8.1829e-07, device='cuda:0', grad_fn=<AddBackward0>)
62000 tensor(8.3280e-07, device='cuda:0', grad_fn=<AddBackward0>)
63000 tensor(5.8243e-07, device='cuda:0', grad_fn=<AddBackward0>)
64000 tensor(5.5602e-07, device='cuda:0', grad_fn=<AddBackward0>)
65000 tensor(4.8282e-07, device='cuda:0', grad_fn=<AddBackward0>)
66000 tensor(5.6339e-07, device='cuda:0', grad_fn=<AddBackward0>)
67000 tensor(6.4536e-07, device='cuda:0', grad_fn=<AddBackward0>)
68000 tensor(1.2924e-06, device='cuda:0', grad_fn=<AddBackward0>)
69000 tensor(9.2420e-07, device='cuda:0', grad_fn=<AddBackward0>)
70000 tensor(5.2613e-07, device='cuda:0', grad_fn=<AddBackward0>)
71000 tensor(6.0632e-07, device='cuda:0', grad_fn=<AddBackward0>)
72000 tensor(8.0557e-07, device='cuda:0', grad_fn=<AddBackward0>)
73000 tensor(1.8096e-06, device='cuda:0', grad_fn=<AddBackward0>)
74000 tensor(9.1257e-07, device='cuda:0', grad_fn=<AddBackward0>)
75000 tensor(4.9900e-07, device='cuda:0', grad_fn=<AddBackward0>)
76000 tensor(6.4249e-07, device='cuda:0', grad_fn=<AddBackward0>)
77000 tensor(5.2978e-07, device='cuda:0', grad_fn=<AddBackward0>)
78000 tensor(5.7081e-07, device='cuda:0', grad_fn=<AddBackward0>)
79000 tensor(4.8155e-07, device='cuda:0', grad_fn=<AddBackward0>)
80000 tensor(1.0313e-06, device='cuda:0', grad_fn=<AddBackward0>)
81000 tensor(4.3542e-07, device='cuda:0', grad_fn=<AddBackward0>)
82000 tensor(8.6093e-07, device='cuda:0', grad_fn=<AddBackward0>)
83000 tensor(6.5740e-07, device='cuda:0', grad_fn=<AddBackward0>)
84000 tensor(2.0019e-06, device='cuda:0', grad_fn=<AddBackward0>)
85000 tensor(4.2147e-07, device='cuda:0', grad_fn=<AddBackward0>)
86000 tensor(6.7468e-07, device='cuda:0', grad_fn=<AddBackward0>)
87000 tensor(5.0683e-07, device='cuda:0', grad_fn=<AddBackward0>)
88000 tensor(9.1792e-07, device='cuda:0', grad_fn=<AddBackward0>)
89000 tensor(5.6112e-07, device='cuda:0', grad_fn=<AddBackward0>)
90000 tensor(6.0775e-07, device='cuda:0', grad_fn=<AddBackward0>)
91000 tensor(1.1067e-06, device='cuda:0', grad_fn=<AddBackward0>)
92000 tensor(8.2894e-07, device='cuda:0', grad_fn=<AddBackward0>)
93000 tensor(8.6240e-07, device='cuda:0', grad_fn=<AddBackward0>)
94000 tensor(6.3995e-07, device='cuda:0', grad_fn=<AddBackward0>)
95000 tensor(6.3741e-07, device='cuda:0', grad_fn=<AddBackward0>)
96000 tensor(7.8562e-07, device='cuda:0', grad_fn=<AddBackward0>)
97000 tensor(5.6784e-07, device='cuda:0', grad_fn=<AddBackward0>)
98000 tensor(4.4733e-07, device='cuda:0', grad_fn=<AddBackward0>)
99000 tensor(8.7108e-07, device='cuda:0', grad_fn=<AddBackward0>)
100000 tensor(7.4898e-07, device='cuda:0', grad_fn=<AddBackward0>)
Test residual MSE: 2.1041968e-05
Test RMSE: tensor(0.0091, device='cuda:0', grad_fn=<DivBackward0>)
1000 tensor(3.6636e-07, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(2.9150e-07, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(3.0041e-07, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(3.2691e-07, device='cuda:0', grad_fn=<AddBackward0>)
